ST,BT,AD,JS,Annual precipitation,Average annual temp range,Freezing index,Compressive strength,Elastic modulus,Density of concrete,Modulus of rupture,Tensile strength,Age,LC for 100 m length
11.1,4.1,10234,4.482352941,94.69999695,22.20000076,0,7010,4956834,143.2333323,848.3333333,630,9,0.32808399
11.1,4.1,4304,4.482352941,226.6999969,23,0,7010,4956834,143.2333323,848.3333333,630,10,1.049868782
11.1,4.1,4391,4.482352941,228.8000031,23.10000038,0,7010,4956834,143.2333323,848.3333333,630,11,0.393700803
11.1,4.1,4574,4.482352941,229.8999939,23.20000076,0,7010,4956834,143.2333323,848.3333333,630,15,1.902887202
11.1,4.1,4371,4.482352941,251.6999969,23.10000038,0,7010,4956834,143.2333323,848.3333333,630,17,2.034120672
11.1,4.1,4417,4.482352941,102.8000031,23.70000076,0,7010,4956834,143.2333323,848.3333333,630,19,2.165354299
11.1,4.1,4436,4.482352941,245.8999939,23.29999924,0,7010,4956834,143.2333323,848.3333333,630,21,4.658792588
11.1,4.1,4698,4.482352941,190.6000061,23.29999924,0,7010,4956834,143.2333323,848.3333333,630,22,6.758530309
11.1,4.1,6166,4.482352941,193.8999939,23.60000038,0,7010,4956834,143.2333323,848.3333333,630,23,11.28608935
8.1,6.1,4391,4.118918919,228.8000031,23.10000038,0,4525,5033546,142.200002,698.3333333,454.1666667,11,2.755905387
8.1,6.1,4574,4.118918919,229.8999939,23.20000076,0,4525,5033546,142.200002,698.3333333,454.1666667,15,13.38582652
8.1,6.1,4371,4.118918919,251.6999969,23.10000038,0,4525,5033546,142.200002,698.3333333,454.1666667,17,22.44094413
8.1,6.1,4513,4.118918919,113.5999985,22.89999962,0,4525,5033546,142.200002,698.3333333,454.1666667,18,23.03149655
8.1,6.1,4417,4.118918919,102.8000031,23.70000076,0,4525,5033546,142.200002,698.3333333,454.1666667,19,23.3595803
8.1,6.1,4436,4.118918919,245.8999939,23.29999924,0,4525,5033546,142.200002,698.3333333,454.1666667,21,27.69028921
8.1,6.1,6166,4.118918919,193.8999939,23.60000038,0,4525,5033546,142.200002,698.3333333,454.1666667,23,28.80577387
8.2,4.4,2800,4.118918919,151.1000061,23.10000038,0,3966.666667,5191535.5,142.600001,740.4,506.6666667,4,0.196850402
8.2,4.4,9353,4.118918919,157.6000061,22.5,0,3966.666667,5191535.5,142.600001,740.4,506.6666667,8,0.393700803
8.2,4.4,4391,4.118918919,228.8000031,23.10000038,0,3966.666667,5191535.5,142.600001,740.4,506.6666667,11,0.393700803
8.2,4.4,4574,4.118918919,229.8999939,23.20000076,0,3966.666667,5191535.5,142.600001,740.4,506.6666667,15,6.036745282
8.2,4.4,4371,4.118918919,251.6999969,23.10000038,0,3966.666667,5191535.5,142.600001,740.4,506.6666667,17,8.923884765
8.2,4.4,4417,4.118918919,102.8000031,23.70000076,0,3966.666667,5191535.5,142.600001,740.4,506.6666667,19,14.43569491
8.2,4.4,4436,4.118918919,245.8999939,23.29999924,0,3966.666667,5191535.5,142.600001,740.4,506.6666667,21,15.48556487
8.2,4.4,4698,4.118918919,190.6000061,23.29999924,0,3966.666667,5191535.5,142.600001,740.4,506.6666667,22,20.73490776
8.6,3.9,4513,4.482352941,113.5999985,22.89999962,0,6975,4207644,146.1999969,993.3333333,592.5,18,3.412073366
11.1,4.1,4513,4.482352941,113.5999985,22.89999962,0,7010,4956834,143.2333323,848.3333333,630,18,2.034120672
8.2,4.4,4513,4.118918919,113.5999985,22.89999962,0,3966.666667,5191535.5,142.600001,740.4,506.6666667,18,9.383202225
8.1,6.1,4698,4.118918919,190.6000061,23.29999924,0,4525,5033546,142.200002,698.3333333,454.1666667,22,27.82152269
8.2,4.4,6166,4.118918919,193.8999939,23.60000038,0,3966.666667,5191535.5,142.600001,740.4,506.6666667,23,21.52230984
12.3,3.9,4513,4.618181818,113.5999985,22.89999962,0,4246.666667,5076000,142.5,740.4,503.3333333,18,0.459317577
12.3,3.9,4417,4.618181818,102.8000031,23.70000076,0,4246.666667,5076000,142.5,740.4,503.3333333,19,0.459317577
12.3,3.9,4436,4.618181818,245.8999939,23.29999924,0,4246.666667,5076000,142.5,740.4,503.3333333,21,0.459317577
12.3,3.9,4698,4.618181818,190.6000061,23.29999924,0,4246.666667,5076000,142.5,740.4,503.3333333,22,1.115485596
12.3,3.9,6166,4.618181818,193.8999939,23.60000038,0,4246.666667,5076000,142.5,740.4,503.3333333,23,2.821522435
8.5,3.8,4513,4.482352941,113.5999985,22.89999962,0,4531.666667,4852535,142.399999,638.3333333,458.6666667,18,0.196850402
8.5,3.8,4417,4.482352941,102.8000031,23.70000076,0,4531.666667,4852535,142.399999,638.3333333,458.6666667,19,0.196850402
8.5,3.8,4436,4.482352941,245.8999939,23.29999924,0,4531.666667,4852535,142.399999,638.3333333,458.6666667,21,0.196850402
8.3,3.4,2340,4.618181818,291.8999939,7.900000095,247,5556,4207644,141.75,740.4,636,35,0.721784793
8.5,3.8,6166,4.482352941,193.8999939,23.60000038,0,4531.666667,4852535,142.399999,638.3333333,458.6666667,23,0.196850402
8.5,3.8,4698,4.482352941,190.6000061,23.29999924,0,4531.666667,4852535,142.399999,638.3333333,458.6666667,22,0.196850402
7.4,6,4589,4.618181818,1072.199951,16.5,62,6178.333333,4207644,141.75,522.3333333,522.3333333,5,34.71128484
7.4,6,4331,4.618181818,1265.800049,16.29999924,23,6178.333333,4207644,141.75,522.3333333,522.3333333,7,96.58792638
7.4,6,4691,4.618181818,1173.599976,16.39999962,24,6178.333333,4207644,141.75,522.3333333,522.3333333,8,104.5931737
7.4,6,4328,4.618181818,1565,16.60000038,31,6178.333333,4207644,141.75,522.3333333,522.3333333,9,104.5275611
7.4,6,5443,4.618181818,1425.800049,17,20,6178.333333,4207644,141.75,522.3333333,522.3333333,12,68.11023791
7.4,6,4644,4.618181818,1397.5,16.60000038,31,6178.333333,4207644,141.75,522.3333333,522.3333333,6,30.77427796
